Ticker,Stock Parameter
DEK (DEKPOL),DEKPOL
DEL (DELKO),DELKO
DEV (DEVORAN),DEV
DGA,DGA
DGE (DRAGOENT),DGE
DGN (DGNET),DGN
DIG (DIGITANET),4FUN-MEDIA
DKR (DEKTRA),DEKTRA
DNP (DINOPL),DNP
DNS (DANKS),DANKS
DOK (DOOK),DOK
DOM (DOMDEV),DOM-DEVELOPMENT
DOW (DSTREAM),DOW
DPL (DROZAPOL),DROZAPOL-PROFIL
DRF (DRFINANCE),DRF
DRG (DRAGEUS),DRG
DTR (DIGITREE),DTR
DTX (DITIX),DTX
DUA (DUALITY),DUA
DVL (DEVELIA),DVL
EAH (ESOTIQ),ESOTIQ-HENDERSON
EAT (AMREST),EAT
EBX (EKOBOX),EKOBOX
ECC (ECCGAMES),ECC
ECH (ECHO),ECHO-INVESTMENT
ECK (EUROSNACK),EUROSNACK
ECL (EASYCALL),EASYCALL-PL
ECT (ECO5TECH),ECT
EDI (EDINVEST),ED-INVEST
EDL (EDITELPL),EDISON-SPOLKA
EEE (EKIPA),EEE
EEX (EKOEXPORT),EKO-EXPORT
EFE (EFENERGII),EUROPEJSKI-FUNDUSZ-ENERGII
EFK (EFEKT),EFEKT
EGH (EKOPOL),EKOPOL
EHG (EUROHOLD),EUROHOLD-BULGARIA
EKE (EKOOZE),EKE
EKP (ELKOP),ELKOP
EKS (EKIOSK),E-KIOSK
ELM (EMONT),ELEKTROMONT
ELQ,ELQ
ELT (ELEKTROTI),ELEKTROTIM
ELZ (ELZAB),ELZAB
EMA (EMTASIA),EMA
EMC (EMCINSMED),EMC
EMP (EMPLOCITY),EMP
EMU (EMUZYKA),E-MUZYKA
ENA (ENEA),ENA
END (ENEIDA),END
ENE (ENELMED),ENEL-MED
ENG (ENERGA),ENERGA
ENI (ENERGOINS),ENERGOINSTAL
ENP (ENAP),ENERGOAPARATURA
ENT (ENTER),ENT
EON (EONET),EO-NETWORKS
EPR (EKOPARK),EPR
ERA (ERATONRG),TECHINVGR
ERB (ERBUD),ERBUD
ERG,ERG
ESG (ESHOPPING),ESG
ESK (ESKIMOS),ESKIMOS
EST (ESTAR),EST
ETL (EUROTEL),EUROTEL
ETX (EUROTAX),EURO-TAX-PL
EUC (EUCO),EUROPEJSKIE-CENTRUM-ODSZKODOWAN
EUR (EUROCASH),EUROCASH
EXA (EXAMOBILE),EXAMOBILE
EXC (EXCELLENC),EXCELLENCE
EXM (EXIMIT),EXM
F51 (FARM51),THE-FARM-51-GROUP
FEE (FEERUM),FEERUM
FEM (FEMTECH),FEM
FER (FERRUM),FERRUM
FFI (FASTFIN),FAST-FINANCE
FHD (FHDOM),FUNDUSZ-HIPOTECZNY-DOM
FIG (FIGENE),FIG
FKD (FABRYKAKD),FABRYKA-KONSTRUKCJI-DREWNIANYCH
FLG (FALCON),FLG
FMG,FMG
FON,FON
FOR (FOREVEREN),FOREVER-ENTERTAINMENT
FPO (FORPOSTA),FORPOSTA
FRO (FERRO),FERRO
FRW (FROZENWAY),FRW
FSG (FASING),FASING
FTE (FORTE),FORTE
FTH (FINTECH),FTH
FTL (FOOTHILLS),FTL
FVE (FOTOVOLT),FVE
GAL (GALVO),GALVO
GAR (GARIN),GAR
GBK (GETBACK),GBK
GDC (GAMEDUST),GDC
GEA (GRENEVIA),GRENEVIA
GEN (GENOMED),GENOMED
GHY (GHYDROGEN),TELIANI-VALLEY
GIF (GAMFACTOR),GIF
GIG (GIGROUP),GIG
GKI (IMMOBILE),GKI
GKS (GKSKAT),GKS-GIEKSA-KATOWICE
GLC (GLCOSMED),GLOBAL-COSMED
GMB (GAMESBOX),GMB
GME (GRMEDIA),GME
GMT (GENOMTEC),GMT
GMV (GAMIVO),GMV
GMZ (GRUPAMZ),GMZ
GNG (GENRG),G-ENERGY
GOB (GOBARTO),GOBARTO
GOL (GOLAB),GOLAB
GOP (GAMEOPS),GOP
GOV (GOVENA),GOV
GPH (GRAPHENE),GPH
GPP (GRUPRACUJ),GPP
GPW,GPW
GRC (GRUPAREC),GRUPA-RECYKL
GRE (GREENENER),GRE
GRM (GREMPCO),GREMPCO
GRN (GRODNO),GRODNO
GRX (GREENX),GRX
GTC,GTC
GTF (GOTFI),GO-TFI
GTN (GETIN),GETIN-HOLDING
GTP (GEOTERM),GEO-TERM
GTS (GEOTRANS),GTS
GTY (GTRINITY),GRUPA-TRINITY
GX1 (GENXONE),GX1
HDR (HYDROTOR),HYDROTOR
HEL (HELIO),HELIO
HLD (HOLLYWOOD),HOLLYWOOD
HMI (HMINWEST),HM-INWEST
HMP (HEMP),HMP
HOR (HORTICO),HORTICO
HPM (HIPROMINE),HPM
HPS (HYDRAPRES),HYDRAPRES
HRC (GRUPAHRC),GRUPA-HRC
HRL (HORNIGOLD),HRL
HRP (HARPER),HARPER-HYGIENICS
HRS (HERKULES),HERKULES
HRT (HURTIMEX),HURTIMEX
HUB (HUBTECH),HUB
HUG (HUUUGE),HUG
IBC (IBCPOLSKA),IBC-POLSKA
IBS (IBSM),IBSM
ICA (INCANA),INCANA
ICD (ICPD),INTERCAPITAL-PROPERTY-DEVELOPMENT
ICE (MEDINICE),ICE
ICG (ICECODE),ICG
IDG (INDYGO),INDYGOTECH-MINERALS
IDH,IDH
IDM (IDMSA),IDM
IFA (INFRA),INFRA
IFC (IFCAPITAL),IFC
IFI (IFIRMA),IFI
IFR (IFSA),IFR
IGN (INNOGENE),INNO-GENE
IGT (IGORIA),IGORIA-TRADE
IIA (IIAAV),IIA
IMC (IMCOMPANY),INDUSTRIAL-MILK-COMPANY
IMG (IMMGAMES),IMG
IMP (IMPERIO),IMP
IMR (INTM),IMR
IMS,IMS
INC,INC
ING (INGBSK),ING-BANK-SLASKI
INK (INSTALKRK),INSTAL-KRAKOW
INL (INTROL),INTROL
INM (INVENTION),INVENTIONMED
INP (INPRO),INPRO
INS (INDOS),INS
INT (INTERNITY),NTERNITY-SPOLKA
IPE (IPOPEMA),IPOPEMA
